panel: 30 date pairs

        date wing    part        1P lo        1P hi     1P width     2P width  shrink  0?
--------------------------------------------------------------------------------------------
  2025-01-06    C  Client      -7221.4       7602.5      14824.0          nan    nan% YES
  2025-01-06    C     DII          0.0          0.3          0.3          nan    nan%    
  2025-01-06    C     FII      -3859.1       4250.6       8109.6          nan    nan% YES
  2025-01-06    C     Pro      -5969.5       5186.9      11156.3          nan    nan% YES
  2025-01-06    P  Client      -7532.4       4519.1      12051.5      12051.5    0.0% YES
  2025-01-06    P     DII         19.2        733.8        714.6        714.5    0.0%    
  2025-01-06    P     FII      -3173.0       4596.2       7769.2       7769.2   -0.0% YES
  2025-01-06    P     Pro      -4485.0       5394.2       9879.2       9879.2    0.0% YES
  2025-01-15    C  Client     -17235.2      18144.4      35379.6          nan    nan% YES
  2025-01-15    C     DII          0.0          0.9          0.9          nan    nan%    
  2025-01-15    C     FII     -12363.4      12494.2      24857.6          nan    nan% YES
  2025-01-15    C     Pro     -15693.2      13931.9      29625.1          nan    nan% YES
  2025-01-15    P  Client     -14146.5      12600.0      26746.5          nan    nan% YES
  2025-01-15    P     DII         10.8       1599.5       1588.7          nan    nan%    
  2025-01-15    P     FII      -9419.6      10903.9      20323.5          nan    nan% YES
  2025-01-15    P     Pro     -11283.0      11195.5      22478.5          nan    nan% YES
  2025-03-11    C  Client      -8225.0       7388.0      15613.0      15613.0   -0.0% YES
  2025-03-11    C     DII          0.0         13.6         13.6         13.6    0.0%    
  2025-03-11    C     FII      -3669.2       5218.4       8887.7       8887.7    0.0% YES
  2025-03-11    C     Pro      -6446.5       6560.6      13007.1      13007.1    0.0% YES
  2025-03-11    P  Client      -8412.2       7299.1      15711.3      15711.3    0.0% YES
  2025-03-11    P     DII          0.2        100.2        100.0        100.0    0.0%    
  2025-03-11    P     FII      -3594.1       5800.7       9394.8       9394.8    0.0% YES
  2025-03-11    P     Pro      -6473.2       6245.8      12719.0      12719.0    0.0% YES
  2025-03-24    C  Client      -8884.8       8023.4      16908.2      16908.2    0.0% YES
  2025-03-24    C     DII          0.0          4.8          4.8          4.8    0.0%    
  2025-03-24    C     FII      -5356.8       6008.1      11364.9      11364.9    0.0% YES
  2025-03-24    C     Pro      -6967.7       7390.0      14357.6      14357.6    0.0% YES
  2025-03-24    P  Client      -8250.2       8338.9      16589.1      16589.1    0.0% YES
  2025-03-24    P     DII          0.4        337.3        336.9        336.9   -0.0%    
  2025-03-24    P     FII      -5722.7       5999.2      11722.0      11722.0    0.0% YES
